label,class_id,temperature,humidity,tvoc_ppb,eco2_ppm
Normal,0,24.2,61.5,0,400
Normal,0,24.2,61.5,0,400
Normal,0,24.2,61.9,0,400
Normal,0,24.2,61.9,0,400
Normal,0,24.2,62.0,0,400
Normal,0,24.2,62.0,0,400
Normal,0,24.2,62.1,0,400
Normal,0,24.2,62.1,0,400
Normal,0,24.2,62.0,0,400
Normal,0,24.2,62.0,0,400
Normal,0,24.2,61.9,0,400
Normal,0,24.2,61.9,0,400
Normal,0,24.2,61.8,0,400
Normal,0,24.2,61.8,0,400
Normal,0,24.2,61.7,0,400
Normal,0,24.2,61.6,0,400
Normal,0,24.2,61.5,8,411
Normal,0,24.2,61.4,5,419
Normal,0,24.2,61.3,7,427
Normal,0,24.2,61.3,9,436
Normal,0,24.2,61.3,16,452
Normal,0,24.2,61.3,19,449
Normal,0,24.2,61.3,28,459
Normal,0,24.2,61.2,28,459
Normal,0,24.2,61.2,32,447
Normal,0,24.2,61.1,32,442
Normal,0,24.2,61.1,28,436
Normal,0,24.2,61.1,28,431
Normal,0,24.2,61.1,25,434
Normal,0,24.3,61.1,28,425
Normal,0,24.3,61.1,26,433
Normal,0,24.3,61.1,31,436
Normal,0,24.3,61.1,27,433
Normal,0,24.2,61.0,30,441
Normal,0,24.2,61.0,32,440
Normal,0,24.3,61.0,34,442
Normal,0,24.3,61.0,23,433
Normal,0,24.3,61.0,26,429
Normal,0,24.3,61.0,21,421
Normal,0,24.2,60.9,18,417
Normal,0,24.2,60.9,16,422
Normal,0,24.3,60.9,22,425
Normal,0,24.3,60.9,19,424
Normal,0,24.3,60.9,16,411
Normal,0,24.3,60.9,21,412
Normal,0,24.3,60.9,12,407
Normal,0,24.3,60.9,15,410
Normal,0,24.3,60.9,10,405
Normal,0,24.3,60.9,10,400
Normal,0,24.3,60.9,14,401
Normal,0,24.3,60.8,5,400
Normal,0,24.3,60.8,3,400
Normal,0,24.3,60.8,9,404
Normal,0,24.3,60.8,6,400
Normal,0,24.3,60.7,5,400
