label,class_id,temperature,humidity,tvoc_ppb,eco2_ppm
Normal,0,21.8,38.7,0,400
Normal,0,21.8,38.7,0,400
Normal,0,21.8,38.9,0,400
Normal,0,21.8,38.9,0,400
Normal,0,21.9,39.0,0,400
Normal,0,21.9,39.0,0,400
Normal,0,21.8,39.0,0,400
Normal,0,21.8,39.0,0,400
Normal,0,21.8,39.0,0,400
Normal,0,21.8,39.0,0,400
Normal,0,21.8,39.1,0,400
Normal,0,21.8,39.1,0,400
Normal,0,21.9,39.2,0,400
Cooking,1,21.9,39.2,0,400
Cooking,1,21.8,39.1,0,400
Cooking,1,21.8,39.1,2,404
Cooking,1,21.8,39.2,11,403
Cooking,1,21.8,39.2,9,412
Cooking,1,21.8,39.2,17,465
Cooking,1,21.8,39.2,14,484
Cooking,1,21.8,39.2,27,543
Cooking,1,21.8,39.2,37,567
Cooking,1,21.8,39.2,41,614
Cooking,1,21.8,39.2,51,623
Cooking,1,21.8,39.3,63,634
Cooking,1,21.8,39.3,59,616
Cooking,1,21.9,39.4,62,587
Cooking,1,21.9,39.4,64,562
Cooking,1,21.8,39.3,68,570
Cooking,1,21.8,39.3,78,609
Cooking,1,21.9,39.4,83,656
Cooking,1,21.9,39.4,82,657
Cooking,1,21.9,39.4,89,611
Cooking,1,21.8,39.3,95,605
Cooking,1,21.8,39.3,93,612
Cooking,1,21.8,39.4,97,610
Cooking,1,21.8,39.4,95,619
Cooking,1,21.8,39.4,104,636
Cooking,1,21.8,39.4,102,624
Cooking,1,21.8,39.4,105,628
Cooking,1,21.8,39.4,109,639
Cooking,1,21.8,39.4,111,658
Cooking,1,21.8,39.4,112,671
Cooking,1,21.8,39.5,114,684
Cooking,1,21.8,39.5,121,696
Cooking,1,21.8,39.5,129,707
Cooking,1,21.8,39.5,126,701
Cooking,1,21.8,39.6,139,718
Cooking,1,21.8,39.6,135,722
Cooking,1,21.8,39.6,137,747
Cooking,1,21.8,39.6,147,758
Cooking,1,21.9,39.7,151,762
Cooking,1,21.9,39.7,154,758
Cooking,1,21.8,39.6,150,762
Cooking,1,21.8,39.6,154,776
Cooking,1,21.8,39.6,165,805
Cooking,1,21.8,39.6,165,811
Cooking,1,21.8,39.7,171,816
Cooking,1,21.8,39.7,179,832
Cooking,1,21.8,39.7,185,893
Cooking,1,21.8,39.7,187,937
Cooking,1,21.8,39.7,195,993
Cooking,1,21.8,39.7,206,1026
Cooking,1,21.8,39.7,215,1060
Cooking,1,21.8,39.7,218,1071
Cooking,1,21.8,39.7,226,1076
Cooking,1,21.8,39.7,235,1080
Cooking,1,21.8,39.7,234,1108
Cooking,1,21.8,39.7,241,1119
Cooking,1,21.8,39.7,244,1127
Cooking,1,21.8,39.7,247,1139
Cooking,1,21.8,39.7,253,1186
Cooking,1,21.8,39.7,267,1228
Cooking,1,21.8,39.7,271,1227
Cooking,1,21.8,39.7,282,1258
Cooking,1,21.8,39.7,286,1288
Cooking,1,21.8,39.7,302,1308
Cooking,1,21.8,39.7,310,1337
Cooking,1,21.8,39.8,322,1361
Cooking,1,21.8,39.8,325,1428
Cooking,1,21.8,39.8,347,1484
Cooking,1,21.8,39.8,350,1474
Cooking,1,21.8,39.8,367,1495
Cooking,1,21.8,39.8,367,1523
Cooking,1,21.8,39.8,393,1547
Cooking,1,21.8,39.8,387,1558
Cooking,1,21.8,39.8,392,1570
Cooking,1,21.8,39.8,412,1578
Cooking,1,21.8,39.8,399,1579
Cooking,1,21.8,39.8,415,1572
Cooking,1,21.8,39.8,425,1591
Cooking,1,21.8,39.8,427,1600
Cooking,1,21.8,39.8,444,1600
Cooking,1,21.8,39.8,441,1597
Cooking,1,21.8,39.9,452,1582
Cooking,1,21.8,39.9,445,1589
Cooking,1,21.8,39.9,445,1583
Cooking,1,21.8,39.9,454,1613
Cooking,1,21.8,39.9,461,1643
Cooking,1,21.8,39.9,454,1662
Cooking,1,21.8,39.9,469,1685
Cooking,1,21.8,39.9,475,1695
Cooking,1,21.8,39.9,475,1711
Cooking,1,21.8,39.9,482,1718
Cooking,1,21.8,39.9,485,1691
Cooking,1,21.8,39.8,488,1704
Cooking,1,21.8,39.8,494,1709
Cooking,1,21.8,39.9,494,1708
Cooking,1,21.8,39.9,503,1706
Cooking,1,21.8,39.9,499,1729
Cooking,1,21.8,39.9,501,1754
Cooking,1,21.8,39.9,509,1758
Cooking,1,21.8,39.9,503,1752
Cooking,1,21.8,39.9,519,1772
Cooking,1,21.8,39.9,515,1797
Cooking,1,21.8,39.9,528,1812
Cooking,1,21.8,39.9,529,1830
Cooking,1,21.8,39.9,538,1848
Cooking,1,21.8,39.9,533,1844
Cooking,1,21.8,39.9,533,1842
Cooking,1,21.8,39.9,545,1871
Cooking,1,21.7,39.9,550,1927
Cooking,1,21.7,39.9,551,1940
Cooking,1,21.7,39.9,564,1956
Cooking,1,21.7,39.9,574,1941
Cooking,1,21.7,39.9,582,1968
Cooking,1,21.7,39.9,575,1969
Cooking,1,21.8,39.9,579,1950
Cooking,1,21.8,39.9,583,1947
Cooking,1,21.8,39.9,582,1928
Cooking,1,21.8,39.9,581,1911
Cooking,1,21.7,39.9,575,1894
Cooking,1,21.7,39.9,585,1921
Cooking,1,21.8,40.0,594,1913
Cooking,1,21.8,40.0,581,1900
Cooking,1,21.7,40.0,588,1897
Cooking,1,21.7,40.0,581,1909
Cooking,1,21.7,40.0,577,1908
Cooking,1,21.7,40.0,579,1922
Cooking,1,21.7,40.0,581,1903
Cooking,1,21.7,40.0,591,1916
Cooking,1,21.7,40.0,596,1913
Cooking,1,21.7,40.0,581,1939
Cooking,1,21.7,40.0,591,1928
Cooking,1,21.7,40.0,601,1943
Cooking,1,21.7,40.0,609,1966
Cooking,1,21.7,40.0,609,1971
Cooking,1,21.7,40.0,612,2004
Cooking,1,21.7,40.0,625,2019
Cooking,1,21.7,40.0,633,2042
Cooking,1,21.7,40.0,644,2051
Cooking,1,21.7,40.0,632,2111
Cooking,1,21.7,40.0,640,2148
Cooking,1,21.7,40.0,661,2155
Cooking,1,21.7,40.0,660,2173
Cooking,1,21.7,40.0,679,2231
Cooking,1,21.7,40.0,675,2222
Cooking,1,21.7,40.0,684,2254
Cooking,1,21.7,40.0,681,2256
Cooking,1,21.7,40.0,700,2268
Cooking,1,21.7,40.0,704,2285
Cooking,1,21.7,40.0,705,2298
Cooking,1,21.7,40.1,728,2288
Cooking,1,21.7,40.1,728,2290
Cooking,1,21.7,40.1,721,2273
Cooking,1,21.7,40.1,725,2254
Cooking,1,21.7,40.1,710,2187
Cooking,1,21.7,40.1,720,2217
Cooking,1,21.7,40.1,718,2200
Cooking,1,21.7,40.1,707,2192
Cooking,1,21.7,40.1,711,2182
Cooking,1,21.7,40.1,725,2219
Cooking,1,21.7,40.1,727,2249
Cooking,1,21.7,40.1,738,2249
Cooking,1,21.7,40.2,726,2239
Cooking,1,21.7,40.2,742,2271
Cooking,1,21.7,40.2,749,2357
Cooking,1,21.7,40.2,726,2406
Cooking,1,21.7,40.2,742,2433
Cooking,1,21.7,40.2,754,2440
Cooking,1,21.7,40.1,738,2450
Cooking,1,21.7,40.1,750,2445
Cooking,1,21.7,40.1,769,2494
Cooking,1,21.7,40.1,780,2482
Cooking,1,21.7,40.1,776,2504
Cooking,1,21.7,40.1,780,2489
Cooking,1,21.7,40.2,785,2496
Cooking,1,21.7,40.2,784,2487
Cooking,1,21.7,40.2,792,2477
Cooking,1,21.7,40.2,779,2438
Cooking,1,21.7,40.2,775,2462
Cooking,1,21.7,40.2,772,2423
Cooking,1,21.6,40.2,778,2455
Cooking,1,21.6,40.2,786,2474
Cooking,1,21.7,40.2,779,2479
Cooking,1,21.7,40.2,781,2509
Cooking,1,21.7,40.2,794,2560
Cooking,1,21.7,40.2,793,2553
Cooking,1,21.7,40.2,783,2523
Cooking,1,21.7,40.2,792,2504
Cooking,1,21.7,40.2,787,2546
Cooking,1,21.7,40.3,780,2523
Cooking,1,21.7,40.3,788,2528
Cooking,1,21.7,40.3,796,2543
Cooking,1,21.7,40.3,794,2560
Cooking,1,21.7,40.3,803,2604
Cooking,1,21.7,40.3,814,2676
Cooking,1,21.7,40.3,805,2676
Cooking,1,21.7,40.3,813,2688
Cooking,1,21.6,40.2,829,2705
Cooking,1,21.6,40.2,837,2700
Cooking,1,21.7,40.3,829,2742
Cooking,1,21.7,40.3,825,2752
Cooking,1,21.7,40.3,819,2737
Cooking,1,21.7,40.3,852,2769
Cooking,1,21.6,40.2,862,2788
Cooking,1,21.6,40.2,854,2801
Cooking,1,21.6,40.2,861,2838
Cooking,1,21.6,40.2,864,2845
Cooking,1,21.6,40.2,870,2887
Cooking,1,21.6,40.2,856,2904
Cooking,1,21.6,40.2,876,2936
Cooking,1,21.6,40.2,879,2909
Cooking,1,21.7,40.3,883,2867
Cooking,1,21.7,40.3,871,2838
Cooking,1,21.6,40.3,879,2860
Cooking,1,21.6,40.3,889,2899
Cooking,1,21.6,40.3,862,2906
Cooking,1,21.6,40.3,889,2958
Cooking,1,21.6,40.3,880,2950
Cooking,1,21.6,40.3,888,2948
Cooking,1,21.6,40.3,887,2968
Cooking,1,21.6,40.3,902,2977
Cooking,1,21.6,40.3,903,3012
Cooking,1,21.6,40.3,896,3002
Cooking,1,21.6,40.3,913,3024
Cooking,1,21.6,40.3,910,2992
Cooking,1,21.6,40.3,916,3007
Cooking,1,21.6,40.3,896,3034
Cooking,1,21.6,40.3,904,3012
Cooking,1,21.6,40.3,916,3046
Cooking,1,21.6,40.3,911,3110
Cooking,1,21.6,40.3,914,3090
Cooking,1,21.6,40.4,915,3134
Cooking,1,21.6,40.4,910,3120
Cooking,1,21.6,40.3,932,3169
Cooking,1,21.6,40.3,940,3154
Cooking,1,21.6,40.4,936,3157
Cooking,1,21.6,40.4,933,3120
Cooking,1,21.6,40.4,927,3132
Cooking,1,21.6,40.4,927,3134
Cooking,1,21.6,40.4,936,3107
