label,class_id,temperature,humidity,tvoc_ppb,eco2_ppm
Normal,0,22.7,40.7,0,400
Normal,0,22.7,39.1,0,400
Normal,0,22.7,39.0,0,400
Normal,0,22.7,39.0,0,400
Normal,0,22.7,39.0,0,400
Normal,0,22.6,38.9,0,400
Normal,0,22.7,38.9,0,400
Normal,0,22.7,38.9,0,400
Normal,0,22.7,38.8,2,400
Normal,0,22.7,38.6,0,400
Normal,0,22.7,38.5,0,400
Normal,0,22.7,38.3,3,408
Normal,0,22.7,38.3,1,408
Normal,0,22.7,38.3,0,403
Cooking,1,22.7,38.3,0,403
Cooking,1,22.6,38.2,10,412
Cooking,1,22.7,38.3,0,400
Cooking,1,22.7,38.3,0,401
Cooking,1,22.7,38.3,0,404
Cooking,1,22.7,38.2,0,410
Cooking,1,22.7,38.2,0,403
Cooking,1,22.7,38.1,1,403
Cooking,1,22.7,38.1,0,400
Cooking,1,22.6,38.0,2,400
Cooking,1,22.7,38.0,0,400
Cooking,1,22.6,37.9,5,419
Cooking,1,22.6,37.9,2,418
Cooking,1,22.6,37.8,3,408
Cooking,1,22.6,37.8,4,411
Cooking,1,22.6,37.8,3,419
Cooking,1,22.6,37.8,0,412
Cooking,1,22.6,37.8,6,418
Cooking,1,22.6,37.9,5,415
Cooking,1,22.6,37.9,2,417
Cooking,1,22.6,37.9,0,407
Cooking,1,22.6,37.9,5,418
Cooking,1,22.6,37.9,0,415
Cooking,1,22.6,37.9,9,418
Cooking,1,22.6,37.9,8,413
Cooking,1,22.6,37.9,7,412
Cooking,1,22.6,38.0,8,412
Cooking,1,22.6,38.0,7,413
Cooking,1,22.6,38.0,13,417
Cooking,1,22.6,38.0,6,415
Cooking,1,22.6,38.0,1,408
Cooking,1,22.6,38.0,7,411
Cooking,1,22.6,38.0,16,420
Cooking,1,22.6,38.0,13,413
Cooking,1,22.6,38.0,13,413
Cooking,1,22.6,38.0,12,411
Cooking,1,22.6,38.0,14,414
Cooking,1,22.6,38.0,13,415
Cooking,1,22.6,38.0,18,418
Cooking,1,22.6,38.0,17,420
Cooking,1,22.6,38.0,16,418
Cooking,1,22.6,38.0,14,417
Cooking,1,22.6,38.0,17,421
Cooking,1,22.6,38.0,15,420
Cooking,1,22.6,38.0,12,420
Cooking,1,22.6,38.0,22,430
Cooking,1,22.6,38.0,16,426
Cooking,1,22.6,38.0,22,422
Cooking,1,22.6,38.0,22,426
Cooking,1,22.6,38.0,15,425
Cooking,1,22.6,38.0,24,431
Cooking,1,22.6,38.0,22,429
Cooking,1,22.6,38.0,28,434
Cooking,1,22.6,38.0,28,422
Cooking,1,22.6,38.0,22,422
Cooking,1,22.6,38.0,22,423
Cooking,1,22.6,38.0,24,424
Cooking,1,22.7,38.0,23,419
Cooking,1,22.6,38.0,30,426
Cooking,1,22.6,38.0,24,422
Cooking,1,22.6,38.0,25,422
Cooking,1,22.6,38.0,27,429
Cooking,1,22.6,38.0,24,426
Cooking,1,22.6,38.0,25,421
Cooking,1,22.6,38.0,26,418
Cooking,1,22.6,38.0,24,412
Cooking,1,22.6,38.0,24,419
Cooking,1,22.6,38.0,22,422
Cooking,1,22.6,38.0,27,422
Cooking,1,22.6,38.0,29,428
Cooking,1,22.6,38.1,26,420
Cooking,1,22.6,38.1,27,422
Cooking,1,22.6,38.1,22,415
Cooking,1,22.6,38.1,23,415
Cooking,1,22.6,38.1,27,427
Cooking,1,22.6,38.1,25,413
Cooking,1,22.6,38.1,25,408
Cooking,1,22.6,38.0,26,417
Cooking,1,22.6,38.0,22,415
Cooking,1,22.6,38.0,22,412
Cooking,1,22.6,38.0,25,408
Cooking,1,22.6,38.0,20,405
Cooking,1,22.6,38.0,16,407
Cooking,1,22.6,38.0,21,409
Cooking,1,22.6,38.0,25,411
Cooking,1,22.6,38.0,24,415
Cooking,1,22.6,38.1,24,415
Cooking,1,22.6,38.1,24,417
Cooking,1,22.6,38.1,24,415
Cooking,1,22.6,38.2,23,422
Cooking,1,22.6,38.2,25,425
Cooking,1,22.6,38.2,24,420
Cooking,1,22.6,38.2,34,429
Cooking,1,22.6,38.2,30,428
Cooking,1,22.6,38.2,30,427
Cooking,1,22.6,38.3,35,424
Cooking,1,22.6,38.3,34,429
Cooking,1,22.6,38.3,36,426
Cooking,1,22.6,38.3,33,426
Cooking,1,22.6,38.3,35,426
Cooking,1,22.6,38.3,37,425
Cooking,1,22.6,38.3,36,421
Cooking,1,22.6,38.3,36,422
Cooking,1,22.6,38.3,36,421
Cooking,1,22.6,38.3,34,414
Cooking,1,22.6,38.3,37,428
Cooking,1,22.6,38.3,34,423
Cooking,1,22.6,38.2,36,422
Cooking,1,22.6,38.2,36,424
Cooking,1,22.6,38.2,39,426
Cooking,1,22.6,38.2,32,423
Cooking,1,22.6,38.3,38,422
Cooking,1,22.6,38.3,35,430
Cooking,1,22.6,38.3,40,430
Cooking,1,22.6,38.3,36,425
Cooking,1,22.6,38.3,40,435
Cooking,1,22.6,38.3,43,432
Cooking,1,22.6,38.3,38,434
Cooking,1,22.6,38.3,41,440
Cooking,1,22.6,38.3,45,434
Cooking,1,22.6,38.3,43,433
Cooking,1,22.6,38.3,43,425
Cooking,1,22.6,38.4,44,432
Cooking,1,22.6,38.3,46,424
Cooking,1,22.6,38.3,40,422
Cooking,1,22.6,38.3,47,428
Cooking,1,22.6,38.3,42,427
Cooking,1,22.6,38.3,45,423
Cooking,1,22.6,38.3,47,436
Cooking,1,22.6,38.3,45,434
Cooking,1,22.6,38.3,45,440
Cooking,1,22.6,38.4,39,425
Cooking,1,22.6,38.4,43,436
Cooking,1,22.6,38.4,51,445
Cooking,1,22.6,38.4,51,442
Cooking,1,22.6,38.4,53,438
Cooking,1,22.6,38.4,48,434
Cooking,1,22.6,38.4,45,425
Cooking,1,22.6,38.4,46,425
Cooking,1,22.6,38.3,48,420
Cooking,1,22.6,38.3,54,424
Cooking,1,22.6,38.3,49,421
Cooking,1,22.6,38.3,50,431
Cooking,1,22.6,38.2,52,439
Cooking,1,22.6,38.2,51,432
Cooking,1,22.6,38.2,51,431
Cooking,1,22.6,38.2,46,432
Cooking,1,22.6,38.2,54,432
Cooking,1,22.6,38.2,48,432
Cooking,1,22.6,38.3,49,436
Cooking,1,22.6,38.3,56,445
Cooking,1,22.6,38.3,51,433
Cooking,1,22.6,38.3,50,433
Cooking,1,22.6,38.3,60,435
Cooking,1,22.6,38.3,50,434
Cooking,1,22.6,38.3,56,433
Cooking,1,22.6,38.3,58,433
Cooking,1,22.6,38.3,50,431
Cooking,1,22.6,38.3,48,428
Cooking,1,22.6,38.3,51,424
Cooking,1,22.6,38.3,53,419
Cooking,1,22.6,38.3,48,427
Cooking,1,22.6,38.3,52,439
Cooking,1,22.6,38.3,57,432
Cooking,1,22.6,38.3,55,432
Cooking,1,22.6,38.3,56,431
Cooking,1,22.6,38.3,54,417
Cooking,1,22.6,38.3,51,428
Cooking,1,22.6,38.3,49,421
Cooking,1,22.6,38.3,50,423
Cooking,1,22.6,38.3,49,424
Cooking,1,22.6,38.3,45,414
Cooking,1,22.6,38.3,48,418
Cooking,1,22.6,38.3,47,429
Cooking,1,22.6,38.3,52,432
Cooking,1,22.6,38.3,47,428
Cooking,1,22.6,38.3,48,425
Cooking,1,22.6,38.3,54,421
Cooking,1,22.6,38.3,48,420
Cooking,1,22.6,38.3,50,420
Cooking,1,22.6,38.4,44,415
Cooking,1,22.6,38.3,44,415
Cooking,1,22.6,38.4,42,420
Cooking,1,22.6,38.4,49,425
Cooking,1,22.6,38.4,51,422
Cooking,1,22.6,38.4,45,422
Cooking,1,22.6,38.4,50,421
Cooking,1,22.6,38.4,50,426
Cooking,1,22.6,38.4,49,419
Cooking,1,22.6,38.4,45,420
Cooking,1,22.6,38.5,48,426
Cooking,1,22.6,38.5,50,426
Cooking,1,22.6,38.5,45,432
Cooking,1,22.6,38.5,50,427
Cooking,1,22.6,38.5,57,428
Cooking,1,22.6,38.5,49,425
Cooking,1,22.6,38.5,56,428
Cooking,1,22.6,38.5,53,432
Cooking,1,22.6,38.5,61,434
Cooking,1,22.6,38.5,52,438
Cooking,1,22.6,38.5,52,428
Cooking,1,22.6,38.5,56,426
Cooking,1,22.6,38.5,54,430
Cooking,1,22.6,38.5,60,441
Cooking,1,22.6,38.5,60,435
Cooking,1,22.6,38.5,57,433
Cooking,1,22.6,38.5,59,432
Cooking,1,22.6,38.5,59,427
Cooking,1,22.6,38.5,60,426
Cooking,1,22.6,38.4,61,432
Cooking,1,22.6,38.4,56,427
Cooking,1,22.6,38.4,61,432
Cooking,1,22.7,38.5,64,433
Cooking,1,22.7,38.5,60,443
Cooking,1,22.6,38.5,60,440
Cooking,1,22.6,38.4,68,436
Cooking,1,22.6,38.4,69,442
Cooking,1,22.6,38.4,66,446
Cooking,1,22.6,38.4,67,450
Cooking,1,22.7,38.5,66,438
Cooking,1,22.7,38.5,66,437
Cooking,1,22.7,38.5,69,444
Cooking,1,22.6,38.4,68,435
Cooking,1,22.6,38.4,70,446
Cooking,1,22.6,38.4,65,436
Cooking,1,22.7,38.5,69,430
Cooking,1,22.7,38.5,75,436
Cooking,1,22.7,38.5,75,441
Cooking,1,22.7,38.5,69,436
Cooking,1,22.7,38.5,73,435
Cooking,1,22.7,38.4,75,444
Cooking,1,22.7,38.4,79,441
Cooking,1,22.7,38.4,73,433
Cooking,1,22.7,38.4,71,442
Cooking,1,22.7,38.4,74,439
Cooking,1,22.7,38.4,73,440
Cooking,1,22.7,38.4,79,444
Cooking,1,22.7,38.4,76,436
Cooking,1,22.7,38.4,75,446
Cooking,1,22.7,38.4,74,436
Cooking,1,22.7,38.4,76,448
Cooking,1,22.7,38.4,80,444
Cooking,1,22.7,38.4,76,437
Cooking,1,22.7,38.4,78,440
Cooking,1,22.7,38.4,76,443
Cooking,1,22.7,38.4,84,440
Cooking,1,22.7,38.4,77,445
Cooking,1,22.7,38.4,80,452
Cooking,1,22.7,38.4,82,448
Cooking,1,22.7,38.4,81,451
Cooking,1,22.7,38.4,86,451
Cooking,1,22.7,38.4,84,451
Cooking,1,22.7,38.4,87,452
Cooking,1,22.7,38.5,83,451
Cooking,1,22.7,38.5,84,456
Cooking,1,22.7,38.5,83,453
Cooking,1,22.7,38.5,91,456
Cooking,1,22.7,38.5,90,452
Cooking,1,22.7,38.5,85,458
Cooking,1,22.7,38.5,91,459
Cooking,1,22.7,38.5,88,460
Cooking,1,22.7,38.5,94,465
Cooking,1,22.7,38.5,92,463
Cooking,1,22.7,38.5,97,460
Cooking,1,22.7,38.5,98,462
Cooking,1,22.7,38.5,102,457
Cooking,1,22.7,38.5,94,447
Cooking,1,22.7,38.5,98,445
Cooking,1,22.7,38.5,97,448
Cooking,1,22.7,38.4,96,455
Cooking,1,22.7,38.5,90,452
Cooking,1,22.7,38.5,94,455
Cooking,1,22.7,38.5,96,452
Cooking,1,22.7,38.5,96,456
Cooking,1,22.7,38.5,95,448
Cooking,1,22.7,38.5,99,458
Cooking,1,22.7,38.5,98,453
Cooking,1,22.7,38.5,100,459
Cooking,1,22.7,38.5,97,453
Cooking,1,22.7,38.5,103,456
Cooking,1,22.7,38.5,96,461
Cooking,1,22.7,38.5,95,450
Cooking,1,22.7,38.5,100,460
Cooking,1,22.7,38.5,101,459
Cooking,1,22.7,38.5,104,459
Cooking,1,22.7,38.5,102,453
Cooking,1,22.7,38.5,103,453
Cooking,1,22.7,38.5,104,454
Cooking,1,22.7,38.5,104,456
Cooking,1,22.7,38.5,103,462
Cooking,1,22.7,38.5,106,465
Cooking,1,22.7,38.5,102,452
Cooking,1,22.7,38.5,103,460
Cooking,1,22.7,38.5,107,463
Cooking,1,22.7,38.5,104,461
Cooking,1,22.7,38.5,105,464
Cooking,1,22.7,38.5,100,453
Cooking,1,22.7,38.5,107,463
Cooking,1,22.7,38.5,98,450
Cooking,1,22.7,38.5,100,460
Cooking,1,22.7,38.5,108,464
Cooking,1,22.7,38.4,111,471
Cooking,1,22.7,38.4,107,462
Cooking,1,22.7,38.5,107,461
Cooking,1,22.7,38.5,110,469
Cooking,1,22.7,38.5,114,475
Cooking,1,22.7,38.4,113,475
Cooking,1,22.7,38.4,109,466
Cooking,1,22.7,38.4,108,467
Cooking,1,22.7,38.4,113,469
Cooking,1,22.8,38.5,108,466
Cooking,1,22.8,38.5,109,460
Cooking,1,22.8,38.5,113,458
Cooking,1,22.7,38.4,109,462
Cooking,1,22.8,38.5,105,461
Cooking,1,22.7,38.4,114,466
Cooking,1,22.7,38.4,113,460
Cooking,1,22.7,38.4,113,462
Cooking,1,22.7,38.4,113,464
Cooking,1,22.7,38.4,112,459
Cooking,1,22.8,38.5,111,457
Cooking,1,22.8,38.5,115,469
Cooking,1,22.8,38.5,113,462
Cooking,1,22.8,38.5,116,463
Cooking,1,22.8,38.5,115,460
Cooking,1,22.8,38.5,111,458
Cooking,1,22.8,38.5,115,452
Cooking,1,22.8,38.5,113,461
Cooking,1,22.7,38.4,117,463
Cooking,1,22.8,38.4,112,462
Cooking,1,22.8,38.4,115,460
Cooking,1,22.8,38.4,115,464
Cooking,1,22.8,38.4,118,457
Cooking,1,22.8,38.4,116,463
Cooking,1,22.8,38.4,111,461
Cooking,1,22.8,38.4,116,465
Cooking,1,22.8,38.4,114,463
Cooking,1,22.8,38.4,118,466
Cooking,1,22.8,38.4,118,463
Cooking,1,22.8,38.4,116,465
Cooking,1,22.8,38.4,116,468
Cooking,1,22.8,38.4,124,466
Cooking,1,22.8,38.4,124,468
Cooking,1,22.8,38.4,119,457
Cooking,1,22.8,38.4,121,473
Cooking,1,22.8,38.4,122,467
Cooking,1,22.8,38.4,122,467
Cooking,1,22.8,38.4,127,467
Cooking,1,22.8,38.4,118,460
Cooking,1,22.8,38.4,124,463
Cooking,1,22.8,38.4,127,466
Cooking,1,22.8,38.4,127,465
Cooking,1,22.8,38.4,125,461
Cooking,1,22.8,38.4,119,471
Cooking,1,22.8,38.4,127,467
Cooking,1,22.8,38.4,129,468
Cooking,1,22.8,38.3,128,473
Cooking,1,22.8,38.3,129,477
Cooking,1,22.8,38.3,133,472
Cooking,1,22.8,38.3,131,474
Cooking,1,22.8,38.3,127,477
Cooking,1,22.8,38.3,130,479
Cooking,1,22.8,38.3,134,478
Cooking,1,22.8,38.3,135,474
Cooking,1,22.8,38.4,133,476
Cooking,1,22.8,38.4,130,478
Cooking,1,22.8,38.4,129,476
Cooking,1,22.8,38.4,136,480
Cooking,1,22.8,38.4,135,477
Cooking,1,22.8,38.4,137,462
Cooking,1,22.8,38.4,132,464
Cooking,1,22.8,38.4,136,469
Cooking,1,22.8,38.4,134,466
Cooking,1,22.8,38.4,133,475
Cooking,1,22.8,38.4,130,476
Cooking,1,22.8,38.4,130,469
Cooking,1,22.9,38.5,131,470
Cooking,1,22.8,38.5,133,476
Cooking,1,22.8,38.5,135,481
Cooking,1,22.8,38.4,139,478
Cooking,1,22.8,38.4,133,473
Cooking,1,22.8,38.4,133,472
Cooking,1,22.8,38.4,135,470
Cooking,1,22.8,38.4,136,470
Cooking,1,22.8,38.4,139,481
Cooking,1,22.8,38.3,137,482
Cooking,1,22.8,38.3,138,472
Cooking,1,22.8,38.3,141,476
Cooking,1,22.8,38.4,140,472
Cooking,1,22.8,38.4,142,478
Cooking,1,22.8,38.4,141,470
Cooking,1,22.8,38.4,138,477
Cooking,1,22.8,38.4,138,474
Cooking,1,22.8,38.4,142,466
Cooking,1,22.8,38.4,141,471
Cooking,1,22.8,38.4,139,471
Cooking,1,22.8,38.4,139,469
Cooking,1,22.8,38.4,133,469
Cooking,1,22.8,38.4,135,467
Cooking,1,22.9,38.4,138,482
Cooking,1,22.8,38.4,138,480
Cooking,1,22.8,38.4,141,477
Cooking,1,22.9,38.4,140,471
Cooking,1,22.8,38.4,138,473
Cooking,1,22.9,38.4,141,472
Cooking,1,22.8,38.4,138,471
Cooking,1,22.9,38.5,135,472
Cooking,1,22.8,38.4,141,469
Cooking,1,22.8,38.4,136,473
Cooking,1,22.8,38.5,138,475
Cooking,1,22.9,38.5,137,470
Cooking,1,22.8,38.5,141,487
Cooking,1,22.8,38.5,137,476
Cooking,1,22.8,38.5,144,471
Cooking,1,22.8,38.4,141,474
Cooking,1,22.8,38.4,138,472
Cooking,1,22.8,38.4,143,470
Cooking,1,22.9,38.5,141,464
Cooking,1,22.8,38.4,144,478
Cooking,1,22.9,38.5,140,470
Cooking,1,22.9,38.5,142,475
Cooking,1,22.9,38.4,140,463
Cooking,1,22.9,38.4,140,470
Cooking,1,22.9,38.4,143,470
Cooking,1,22.8,38.3,134,468
Cooking,1,22.8,38.3,139,464
Cooking,1,22.9,38.4,143,472
Cooking,1,22.8,38.3,144,478
Cooking,1,22.9,38.4,136,464
Cooking,1,22.8,38.3,137,466
Cooking,1,22.8,38.3,136,467
Cooking,1,22.9,38.4,140,468
Cooking,1,22.9,38.4,134,464
Cooking,1,22.9,38.4,136,467
Cooking,1,22.8,38.4,137,464
Cooking,1,22.8,38.4,136,467
Cooking,1,22.9,38.5,132,470
Cooking,1,22.8,38.4,141,471
Cooking,1,22.8,38.5,144,471
Cooking,1,22.8,38.5,142,466
Cooking,1,22.8,38.5,140,466
Cooking,1,22.8,38.5,146,467
Cooking,1,22.8,38.5,145,473
Cooking,1,22.8,38.5,144,468
Cooking,1,22.8,38.5,143,464
Cooking,1,22.8,38.5,144,474
Cooking,1,22.8,38.5,144,473
Cooking,1,22.8,38.5,145,480
Cooking,1,22.8,38.5,145,481
Cooking,1,22.9,38.5,141,466
Cooking,1,22.8,38.5,145,467
Cooking,1,22.8,38.5,143,468
Cooking,1,22.8,38.5,146,471
Cooking,1,22.8,38.5,142,468
Cooking,1,22.9,38.5,145,472
Cooking,1,22.8,38.5,142,473
Cooking,1,22.8,38.4,147,475
Cooking,1,22.9,38.5,144,467
Cooking,1,22.8,38.5,153,472
Cooking,1,22.9,38.5,143,464
Cooking,1,22.8,38.5,145,467
Cooking,1,22.8,38.5,146,465
Cooking,1,22.8,38.4,145,467
Cooking,1,22.8,38.4,150,466
Cooking,1,22.8,38.4,140,460
Cooking,1,22.8,38.4,147,474
Cooking,1,22.8,38.5,142,468
Cooking,1,22.8,38.5,145,466
Cooking,1,22.8,38.5,146,469
Cooking,1,22.8,38.5,147,460
Cooking,1,22.8,38.5,145,467
Cooking,1,22.8,38.5,150,467
